Rex,Label,Density,Grams,Cost,Formula Number
"BU","BURNT UMBER",1.483523,90.900002,0,"2306"
"LB","LAMP BLACK",1.0665069,9.1000004,0,"2306"
"QR","QUIN RED",0.99460757,3,0,"2306"
"SEALER","TONNER ",0.97303772,3468,0,"2307"
"YO","YELLOW OXIDE",1.605752,26.9,0,"2307"
"LB","LAMP BLACK",1.0665069,6.6999998,0,"2307"
"QR","QUIN RED",0.99460757,3.4000001,0,"2307"
"TW","TITANIUM WHITE",1.8813661,306.89999,0,"2307"
"RU","RAW UMBER",1.3876573,43.599998,0,"2307"
"BASE","WIPE STAIN",0.82444578,2882.8999,0,"2308"
"YO","YELLOW OXIDE",1.605752,56.799999,0,"2308"
"BU","BURNT UMBER",1.483523,191.2,0,"2308"
"LB","LAMP BLACK",1.0665069,4.6999998,0,"2308"
"QR","QUIN RED",0.99460757,18.9,0,"2308"
"RU","RAW UMBER",1.3876573,66.300003,0,"2308"
"RO","RED OXIDE",1.7974836,94.699997,0,"2308"
"SEALER","TONNER ",0.97303772,3469.8,0,"2309"
"YO","YELLOW OXIDE",1.605752,25.9,0,"2309"
"LB","LAMP BLACK",1.0665069,8.1000004,0,"2309"
"QR","QUIN RED",0.99460757,3.2,0,"2309"
"TW","TITANIUM WHITE",1.8813661,295.70001,0,"2309"
"RU","RAW UMBER",1.3876573,48.5,0,"2309"
"SEALER","TONNER ",0.97303772,3475.3999,0,"2310"
"YO","YELLOW OXIDE",1.605752,5.0999999,0,"2310"
"BU","BURNT UMBER",1.483523,5.0999999,0,"2310"
"LB","LAMP BLACK",1.0665069,1.3,0,"2310"
"TW","TITANIUM WHITE",1.8813661,386.5,0,"2310"
"BASE","GLAZE",0.88436192,2760.3,0,"2311"
"BU","BURNT UMBER",1.483523,364.70001,0,"2311"
"LB","LAMP BLACK",1.0665069,59.099998,0,"2311"
"RU","RAW UMBER",1.3876573,502.79999,0,"2311"
"BASE","GLAZE",0.88436192,2970,0,"2312"
"BU","BURNT UMBER",1.483523,144.2,0,"2312"
"LB","LAMP BLACK",1.0665069,153.8,0,"2312"
"QR","QUIN RED",0.99460757,19.200001,0,"2312"
"RU","RAW UMBER",1.3876573,230.7,0,"2312"
"BASE","WIPE STAIN",0.82444578,2608.7,0,"2313"
"YO","YELLOW OXIDE",1.605752,85.400002,0,"2313"
"LB","LAMP BLACK",1.0665069,298.79999,0,"2313"
"QR","QUIN RED",0.99460757,52.200001,0,"2313"
"TW","TITANIUM WHITE",1.8813661,275.10001,0,"2313"
"RU","RAW UMBER",1.3876573,123.3,0,"2313"
"SEALER","TONNER ",0.97303772,3474.1001,0,"2314"
"YO","YELLOW OXIDE",1.605752,5.8000002,0,"2314"
"BU","BURNT UMBER",1.483523,3.9000001,0,"2314"
"LB","LAMP BLACK",1.0665069,9.6999998,0,"2314"
"TW","TITANIUM WHITE",1.8813661,368.60001,0,"2314"
"RU","RAW UMBER",1.3876573,4.8000002,0,"2314"
"SEALER","TONNER ",0.97303772,3470,0,"2315"
"YO","YELLOW OXIDE",1.605752,9.6999998,0,"2315"
"LB","LAMP BLACK",1.0665069,9.6999998,0,"2315"
"QR","QUIN RED",0.99460757,3.5999999,0,"2315"
"TW","TITANIUM WHITE",1.8813661,367,0,"2315"
"PB","PTHALO BLUE",1.0041941,5,0,"2315"
"PG","PTHALO GREEN",1.052127,3.7,0,"2316"
"BASE","WIPE STAIN",0.82444578,2640.3,0,"2317"
