Rex,Label,Density,Grams,Cost,Formula Number
"S64N36","Burnt Sienna",1.1569999,30,0,"4"
"S64R35","Deep Red",0.85100001,30,0,"4"
"S64Y46","Raw Sienna",1.13,260,0,"4"
"S64N45","VanDyke Brown",0.94999999,45,0,"4"
"S64N36","Burnt Sienna",1.1569999,40,0,"5"
"S64N37","Burnt Umber",1.1569999,40,0,"5"
"S64Y46","Raw Sienna",1.13,250,0,"5"
"S64L39","Blue",0.89700001,5,0,"6"
"S64N37","Burnt Umber",1.1569999,30,0,"6"
"S64R35","Deep Red",0.85100001,10,0,"6"
"S64Y46","Raw Sienna",1.13,240,0,"6"
"S64B30","Black",0.91909999,5,0,"7"
"S64L39","Blue",0.89700001,5,0,"7"
"S64R35","Deep Red",0.85100001,30,0,"7"
"S64N45","VanDyke Brown",0.94999999,200,0,"7"
"S64B30","Black",0.91909999,6,0,"8"
"S64L39","Blue",0.89700001,5,0,"8"
"S64R35","Deep Red",0.85100001,5,0,"8"
"S64N45","VanDyke Brown",0.94999999,275,0,"8"
"S64L39","Blue",0.89700001,7,0,"9"
"S64R35","Deep Red",0.85100001,10,0,"9"
"S64N45","VanDyke Brown",0.94999999,240,0,"9"
"S64L39","Blue",0.89700001,10,0,"10"
"S64N36","Burnt Sienna",1.1569999,20,0,"10"
"S64R40","Brite Red",0.88999999,30,0,"10"
"S64N45","VanDyke Brown",0.94999999,200,0,"10"
"S64B30","Black",0.91909999,25,0,"11"
"S64R40","Brite Red",0.88999999,105,0,"11"
"S64Y46","Raw Sienna",1.13,30,0,"11"
"S64N45","VanDyke Brown",0.94999999,200,0,"11"
"S64N36","Burnt Sienna",1.1569999,200,0,"12"
"S64N42","Raw Umber",1.1210001,180,0,"12"
"S64W31","White",1.597,30,0,"12"
"S64Y32","Yellow Oxide",1.171,80,0,"12"
"S64N36","Burnt Sienna",1.1569999,220,0,"13"
"S64R35","Deep Red",0.85100001,5,0,"13"
"S64N45","VanDyke Brown",0.94999999,40,0,"13"
"S64N36","Burnt Sienna",1.1569999,220,0,"14"
"S64N37","Burnt Umber",1.1569999,40,0,"14"
"S64R40","Brite Red",0.88999999,10,0,"14"
"S64B30","Black",0.91909999,5,0,"15"
"S64N36","Burnt Sienna",1.1569999,220,0,"15"
"S64Y46","Raw Sienna",1.13,35,0,"15"
"S64L39","Blue",0.89700001,5,0,"16"
"S64N36","Burnt Sienna",1.1569999,220,0,"16"
"SEALER","TONER",0.97303772,3103.3999,0,"1844"
"LB","LAMP BLACK",1.0665069,19,0,"1844"
"SEALER","TONNER ",0.97303772,3377.7,0,"2726"
"TW","TITANIUM WHITE",1.8813661,95.599998,0,"2726"
"QR","QUIN RED",0.99460757,28.1,0,"2726"
"S64R40","Brite Red",0.88999999,20,0,"16"
"S64N45","VanDyke Brown",0.94999999,145,0,"16"
"S64L39","Blue",0.89700001,10,0,"17"
"S64N37","Burnt Umber",1.1569999,300,0,"17"
"S64R33","Red Oxide",1.181,30,0,"17"
"S64Y46","Raw Sienna",1.13,65,0,"17"
"S64B30","Black",0.91909999,20,0,"18"
"S64N37","Burnt Umber",1.1569999,200,0,"18"
"S64R33","Red Oxide",1.181,50,0,"18"
"S64Y32","Yellow Oxide",1.171,30,0,"18"
"S64L39","Blue",0.89700001,15,0,"19"
"S64N37","Burnt Umber",1.1569999,200,0,"19"
"S64R35","Deep Red",0.85100001,50,0,"19"
"S64Y32","Yellow Oxide",1.171,45,0,"19"
"S64L39","Blue",0.89700001,20,0,"20"
"S64N37","Burnt Umber",1.1569999,200,0,"20"
"S64R33","Red Oxide",1.181,30,0,"20"
"S64R35","Deep Red",0.85100001,15,0,"20"
"S64Y46","Raw Sienna",1.13,55,0,"20"
"S64L39","Blue",0.89700001,5,0,"21"
"S64N37","Burnt Umber",1.1569999,200,0,"21"
"S64R33","Red Oxide",1.181,45,0,"21"
"S64Y32","Yellow Oxide",1.171,10,0,"21"
"S64N23","Fruitwood",1.0930001,200,0,"22"
"S64N36","Burnt Sienna",1.1569999,30,0,"22"
"S64R35","Deep Red",0.85100001,22,0,"22"
"S64Y32","Yellow Oxide",1.171,40,0,"22"
"S64L39","Blue",0.89700001,10,0,"23"
"S64N23","Fruitwood",1.0930001,300,0,"23"
"S64R40","Brite Red",0.88999999,10,0,"23"
"S64Y46","Raw Sienna",1.13,100,0,"23"
"S64L39","Blue",0.89700001,5,0,"24"
"S64N23","Fruitwood",1.0930001,200,0,"24"
"S64Y46","Raw Sienna",1.13,25,0,"24"
"S64N45","VanDyke Brown",0.94999999,40,0,"24"
"S64G38","Green",0.90799999,60,0,"25"
"S64N23","Fruitwood",1.0930001,315,0,"25"
"S64N36","Burnt Sienna",1.1569999,50,0,"25"
"S64R35","Deep Red",0.85100001,55,0,"25"
"S64N23","Fruitwood",1.0930001,200,0,"26"
"S64R33","Red Oxide",1.181,20,0,"26"
"S64Y32","Yellow Oxide",1.171,50,0,"26"
"S64N44","Gilsonite",0.85100001,35,0,"27"
"S64W31","White",1.597,675,0,"27"
"S64N44","Gilsonite",0.85100001,35,0,"28"
"S64N37","Burnt Umber",1.1569999,100,0,"28"
"S64W31","White",1.597,675,0,"28"
"S64N44","Gilsonite",0.85100001,35,0,"29"
"S64N37","Burnt Umber",1.1569999,110,0,"29"
"S64W31","White",1.597,700,0,"29"
"S64Y46","Raw Sienna",1.13,275,0,"29"
"S64N36","Burnt Sienna",1.1569999,5,0,"30"
"S64W31","White",1.597,500,0,"30"
"S64Y32","Yellow Oxide",1.171,10,0,"30"
"S64L39","Blue",0.89700001,5,0,"31"
"S64N42","Raw Umber",1.1210001,10,0,"31"
"S64W31","White",1.597,700,0,"31"
"S66T10","Natural",1.0053999,598,0,"32"
"S66N11","Van Dyke Brown",0.90469998,1759,0,"32"
"R1K140","140 Flash Naptha",0.77999997,562,0,"32"
"S64Y46","Raw Sienna",1.13,598,0,"32"
"S61R503","Red",1.0369999,40,0,"33"
"S61Y504","Yellow",1.043,62,0,"33"
"S61N502","Brown",1.0369999,80,0,"33"
"R6K21","Dye Stain Reducer",0.79100001,2901,0,"33"
"S61E501","Orange",1.0369999,11.25,0,"34"
"S61Y504","Yellow",1.043,189.2,0,"34"
"S61N502","Brown",1.0369999,3.6500001,0,"34"
"R6K21","Dye Stain Reducer",0.79100001,2837.6899,0,"34"
"S64B30","Black",0.91909999,43.66,0,"35"
"S64N37","Burnt Umber",1.1569999,96.529999,0,"35"
"S64R33","Red Oxide",1.181,103.76,0,"35"
"S64R35","Deep Red",0.85100001,2785.2,0,"35"
"R1K3","VM&P Naptha",0.74199998,108.29,0,"35"
"R1K4","Mineral Spirit",0.75999999,108.29,0,"35"
"S61R503","Red",1.0369999,53.98,0,"36"
"S61Y504","Yellow",1.043,53.98,0,"36"
"S61N502","Brown",1.0369999,89.980003,0,"36"
"R6K21","Dye Stain Reducer",0.79100001,2845.99,0,"36"
"S64N36","Burnt Sienna",1.1569999,1604.13,0,"37"
"S64R33","Red Oxide",1.181,139.81,0,"37"
"S64T8","Clear",0.79000002,1802.8101,0,"37"
"S61E501","Orange",1.0369999,16.389999,0,"38"
"S61Y504","Yellow",1.043,29.83,0,"38"
"S61N502","Brown",1.0369999,14.89,0,"38"
"R6K21","Dye Stain Reducer",0.79100001,2949.6399,0,"38"
"S61E501","Orange",1.0369999,84,0,"39"
"S61R506","Bordeaux",0.98500001,140,0,"39"
"S61N502","Brown",1.0369999,56,0,"39"
"R6K21","Dye Stain Reducer",0.79100001,2821,0,"39"
"S61R503","Red",1.0369999,151.27,0,"40"
"S61Y504","Yellow",1.043,43.220001,0,"40"
"R6K21","Dye Stain Reducer",0.79100001,2848.0801,0,"40"
"S64B30","Black",0.91909999,951.20001,0,"41"
"S64R35","Deep Red",0.85100001,1424.79,0,"41"
"R1K3","VM&P Naptha",0.74199998,400.47,0,"41"
"R1K4","Mineral Spirit",0.75999999,400.47,0,"41"
"S66N11","Van Dyke Brown",0.90469998,2066,0,"42"
"D70T1","Sherwood Natural Filler",1.72,2066,0,"42"
"S64B30","Black",0.91909999,172,0,"42"
"P63E2","Orange",0.91399997,109,0,"43"
"P63N5","Burnt Umber",0.91399997,109,0,"43"
"P63Y10","Brite Yellow",0.87599999,881,0,"43"
"R7K305","HAPS Free Reducer",0.81999999,2202,0,"43"
"P63W9","White",1.114,817,0,"44"
"R7K305","HAPS Free Reducer",0.81999999,2452,0,"44"
"P63E2","Orange",0.91399997,47,0,"45"
"P63N5","Burnt Umber",0.91399997,98,0,"45"
"P63W9","White",1.03,1162,0,"45"
"P63Y11","Ferrite Yellow",1.0190001,146,0,"45"
"R7K305","HAPS Free Reducer",0.81999999,1934,0,"45"
"S64B30","Black",0.91909999,343,0,"46"
"S64N44","Gilsonite",0.85100001,589,0,"46"
"S64N37","Burnt Umber",1.1569999,550,0,"46"
"R1K3","VM&P Naptha",0.74199998,862.73999,0,"46"
"R1K4","Mineral Spirit",0.75999999,862.73999,0,"46"
"S61N502","Brown",1.0369999,59.610001,0,"47"
"R6K21","Dye Stain Reducer",0.79100001,2951.77,0,"47"
"S64N42","Raw Umber",1.1210001,89,0,"49"
"S64T28","Clear",0.90600002,174,0,"49"
"S64Y46","Raw Sienna",1.13,348,0,"49"
"R1K4","Mineral Spirit",0.75999999,2444,0,"49"
"S61E501","Orange",1.0369999,7.96,0,"50"
"S61Y504","Yellow",1.043,14.85,0,"50"
"S61N502","Brown",1.0369999,9.8999996,0,"50"
"R6K21","Dye Stain Reducer",0.79100001,2971.25,0,"50"
"S66T10","Natural",1.0053999,1884,0,"51"
"S66N11","Van Dyke Brown",0.90469998,77,0,"51"
"S66W12","White",1.027,1884,0,"51"
"P63N5","Burnt Umber",0.91399997,100,0,"52"
"P63W9","White",1.03,1068,0,"52"
"R7K305","HAPS Free Reducer",0.81999999,2170,0,"52"
"S61R503","Red",1.0369999,196.39999,0,"54"
"S61Y504","Yellow",1.043,56.110001,0,"54"
"R6K21","Dye Stain Reducer",0.79100001,2804.04,0,"54"
"S64N37","Burnt Umber",1.1569999,8.6000004,0,"57"
"S64R33","Red Oxide",1.181,4.4000001,0,"57"
"S64W31","White",1.597,3223,0,"57"
"S64Y32","Yellow Oxide",1.171,8.6999998,0,"57"
"S64N36","Burnt Sienna",1.1569999,119.7,0,"58"
"S64W31","White",1.597,2083.7,0,"58"
"S64Y32","Yellow Oxide",1.171,272.70001,0,"58"
"R1K3","VM&P Naptha",0.74199998,800.90002,0,"58"
"R1K4","Mineral Spirit",0.75999999,809,0,"58"
"S64N36","Burnt Sienna",1.1569999,748.40002,0,"59"
"S64N37","Burnt Umber",1.1569999,671.40002,0,"59"
"S64N44","Gilsonite",0.85100001,252.89999,0,"1180"
"S64N36","Burnt Sienna",1.1569999,389,0,"1180"
"S64N37","Burnt Umber",1.1569999,267.39999,0,"1180"
"R1K4","Mineral Spirit",0.75999999,373.60001,0,"57"
,"Xylene",0.86400002,475.79999,0,"57"
,"Diacetone Alcohol",0.93059999,657,0,"57"
"S64W31","White",1.597,253.8,0,"59"
"S64Y32","Yellow Oxide",1.171,281.29999,0,"59"
"R1K3","VM&P Naptha",0.74199998,803.59998,0,"59"
"R1K4","Mineral Spirit",0.75999999,817.5,0,"59"
"S64N37","Burnt Umber",1.1569999,1642.2,0,"60"
"S64R33","Red Oxide",1.181,209.5,0,"60"
"S64Y32","Yellow Oxide",1.171,934.90002,0,"60"
"R1K3","VM&P Naptha",0.74199998,526.59998,0,"60"
"R1K4","Mineral Spirit",0.75999999,516.90002,0,"60"
"S64B30","Black",0.91909999,217.39999,0,"61"
"S64N36","Burnt Sienna",1.1569999,1334.3,0,"61"
"S64N37","Burnt Umber",1.1569999,444.79999,0,"61"
"S64Y32","Yellow Oxide",1.171,173.10001,0,"61"
"R1K3","VM&P Naptha",0.74199998,680.20001,0,"61"
"R1K4","Mineral Spirit",0.75999999,719.09998,0,"61"
"S64T8","Clear",0.79000002,1752,0,"62"
"S64W31","White",1.597,2361.2,0,"62"
"S64Y32","Yellow Oxide",1.171,103.9,0,"62"
"S64B30","Black",0.91909999,108.7,0,"63"
"S64N36","Burnt Sienna",1.1569999,479,0,"63"
"S64W31","White",1.597,94.400002,0,"63"
"S64Y32","Yellow Oxide",1.171,346.29999,0,"63"
"R1K3","VM&P Naptha",0.74199998,1097.1,0,"63"
"R1K4","Mineral Spirit",0.75999999,1078.7,0,"63"
"S64N37","Burnt Umber",1.1569999,992.20001,0,"64"
"S64Y32","Yellow Oxide",1.171,900.29999,0,"64"
"R1K3","VM&P Naptha",0.74199998,811.79999,0,"64"
"R1K4","Mineral Spirit",0.75999999,809,0,"64"
"S64B30","Black",0.91909999,163.10001,0,"66"
"S64N37","Burnt Umber",1.1569999,1744.9,0,"66"
"S64R35","Deep Red",0.85100001,201.3,0,"66"
"R1K3","VM&P Naptha",0.74199998,702.09998,0,"66"
"R1K4","Mineral Spirit",0.75999999,696.70001,0,"66"
"S64B30","Black",0.91909999,81.5,0,"67"
"S64N37","Burnt Umber",1.1569999,239.5,0,"67"
"S64W31","White",1.597,991.70001,0,"67"
"S64Y32","Yellow Oxide",1.171,380.89999,0,"67"
"R1K3","VM&P Naptha",0.74199998,943.5,0,"67"
"R1K4","Mineral Spirit",0.75999999,966.40002,0,"67"
"S64N37","Burnt Umber",1.1569999,2873.8999,0,"68"
"S64T28","Clear",0.90600002,1178.8,0,"68"
"S64B30","Black",0.91909999,251.39999,0,"69"
"S64N37","Burnt Umber",1.1569999,2300.8,0,"69"
"R1K3","VM&P Naptha",0.74199998,576,0,"69"
"BASE","WIPE STAIN",0.81725585,2751.3,0,"2973"
"RU","RAW UMBER",1.3876573,18.299999,0,"2973"
"TW","TITANIUM WHITE",1.8813661,715.29999,0,"2973"
"R1K4","Mineral Spirit",0.75999999,567.5,0,"69"
"S64N36","Burnt Sienna",1.1569999,2189.6001,0,"70"
"S64N37","Burnt Umber",1.1569999,650,0,"70"
"S64Y32","Yellow Oxide",1.171,138.5,0,"70"
"R1K3","VM&P Naptha",0.74199998,460.79999,0,"70"
"R1K4","Mineral Spirit",0.75999999,449.5,0,"70"
"S64N37","Burnt Umber",1.1569999,2095.5,0,"71"
"S64R35","Deep Red",0.85100001,1119.8,0,"71"
"S64T8","Clear",0.79000002,519.79999,0,"71"
"S64B30","Black",0.91909999,332.89999,0,"72"
"S64N36","Burnt Sienna",1.1569999,1193.2,0,"72"
"S64R35","Deep Red",0.85100001,1626.2,0,"72"
"S64T8","Clear",0.79000002,379.60001,0,"72"
"S64B30","Black",0.91909999,689.59998,0,"73"
"S64R35","Deep Red",0.85100001,1921.9,0,"73"
"S64T8","Clear",0.79000002,613.20001,0,"73"
"S64N36","Burnt Sienna",1.1569999,491.79999,0,"75"
"S64N37","Burnt Umber",1.1569999,782.59998,0,"75"
"S64R33","Red Oxide",1.181,2025.5,0,"75"
"S64T8","Clear",0.79000002,765.09998,0,"75"
"S64B30","Black",0.91909999,305.79999,0,"76"
"S64R33","Red Oxide",1.181,947.29999,0,"76"
"S64R40","Brite Red",0.88999999,1549.4,0,"76"
"S64T8","Clear",0.79000002,718.29999,0,"76"
"S64B30","Black",0.91909999,299,0,"77"
"S64N37","Burnt Umber",1.1569999,1539.6,0,"77"
"S64R35","Deep Red",0.85100001,704.59998,0,"77"
"R1K3","VM&P Naptha",0.74199998,482.70001,0,"77"
"R1K4","Mineral Spirit",0.75999999,494.39999,0,"77"
"S64B30","Black",0.91909999,108.7,0,"78"
"S64W31","White",1.597,2172.3,0,"78"
"R1K3","VM&P Naptha",0.74199998,855.70001,0,"78"
"R1K4","Mineral Spirit",0.75999999,876.5,0,"78"
"S64B30","Black",0.91909999,135.89999,0,"79"
"S64N37","Burnt Umber",1.1569999,786.90002,0,"79"
"S64W31","White",1.597,613.90002,0,"79"
"R1K3","VM&P Naptha",0.74199998,965.40002,0,"79"
"R1K4","Mineral Spirit",0.75999999,966.40002,0,"79"
"S64B30","Black",0.91909999,268.39999,0,"80"
"S64N37","Burnt Umber",1.1569999,1086.3,0,"80"
"S64W31","White",1.597,1245.5,0,"80"
"R1K3","VM&P Naptha",0.74199998,444.29999,0,"80"
"R1K4","Mineral Spirit",0.75999999,893.29999,0,"80"
"S64B30","Black",0.91909999,377.10001,0,"81"
"S64T8","Clear",0.79000002,2193,0,"81"
"S64W31","White",1.597,737.90002,0,"81"
"S64Y32","Yellow Oxide",1.171,160.10001,0,"81"
"S64B30","Black",0.91909999,845.90002,0,"82"
"RU","RAW UMBER",1.3876573,42.299999,0,"1844"
"PG","PTHALO GREEN",1.052127,20.700001,0,"1844"
"YO","YELLOW OXIDE",1.605752,78.5,0,"1844"
"S64N36","Burnt Sienna",1.1569999,1419.8,0,"82"
"S64T8","Clear",0.79000002,1293.6,0,"82"
"S61E501","Orange",1.0369999,8,0,"83"
"S61Y504","Yellow",1.043,15.4,0,"83"
"S61N502","Brown",1.0369999,9.8000002,0,"83"
"R6K21","Dye Stain Reducer",0.79100001,2968.7,0,"83"
"S61B500","Black",1.041,136.10001,0,"84"
"S61E501","Orange",1.0369999,539.79999,0,"84"
"S61Y504","Yellow",1.043,771.09998,0,"84"
"R6K21","Dye Stain Reducer",0.79100001,56613.801,0,"84"
"S61B500","Black",1.041,21.200001,0,"85"
"S61E501","Orange",1.0369999,38,0,"85"
"S61Y504","Yellow",1.043,74.300003,0,"85"
"R6K21","Dye Stain Reducer",0.79100001,2892.3999,0,"85"
"S61R503","Red",1.0369999,22.700001,0,"86"
"S61Y504","Yellow",1.043,58.900002,0,"86"
"S61N502","Brown",1.0369999,70.5,0,"86"
"R6K21","Dye Stain Reducer",0.79100001,2878.2,0,"86"
"S61R503","Red",1.0369999,10.4,0,"87"
"S61Y504","Yellow",1.043,47.5,0,"87"
"S61L505","Blue",1.018,53.299999,0,"87"
"R6K21","Dye Stain Reducer",0.79100001,2908.6001,0,"87"
"S61E501","Orange",1.0369999,86.800003,0,"88"
"S61Y504","Yellow",1.043,14.5,0,"88"
"S61N502","Brown",1.0369999,45.099998,0,"88"
"R6K21","Dye Stain Reducer",0.79100001,2882.3999,0,"88"
"S61E501","Orange",1.0369999,115.3,0,"89"
"S61Y504","Yellow",1.043,14.5,0,"89"
"S61N502","Brown",1.0369999,16.9,0,"89"
"R6K21","Dye Stain Reducer",0.79100001,2882.1001,0,"89"
"S61E501","Orange",1.0369999,72.400002,0,"90"
"S61R503","Red",1.0369999,43.200001,0,"90"
"S61Y504","Yellow",1.043,14.5,0,"90"
"S61N502","Brown",1.0369999,16.9,0,"90"
"R6K21","Dye Stain Reducer",0.79100001,2881.8999,0,"90"
"S61R503","Red",1.0369999,66.199997,0,"93"
"S61Y504","Yellow",1.043,58.299999,0,"93"
"S61N502","Brown",1.0369999,46.599998,0,"93"
"R6K21","Dye Stain Reducer",0.79100001,2863.7,0,"93"
"S61R503","Red",1.0369999,77.300003,0,"94"
"S61Y504","Yellow",1.043,58.299999,0,"94"
"S61N502","Brown",1.0369999,65,0,"94"
"R6K21","Dye Stain Reducer",0.79100001,2841.2,0,"94"
"S61R503","Red",1.0369999,8.3000002,0,"95"
"S61Y504","Yellow",1.043,8.6000004,0,"95"
"S61N502","Brown",1.0369999,82.199997,0,"95"
"R6K21","Dye Stain Reducer",0.79100001,2918.3999,0,"95"
"S61R503","Red",1.0369999,8.3000002,0,"96"
"S61N502","Brown",1.0369999,41.099998,0,"96"
"R6K21","Dye Stain Reducer",0.79100001,2956.3,0,"96"
"S61Y504","Yellow",1.043,19.700001,0,"97"
"S61L505","Blue",1.018,65.599998,0,"97"
"S61R506","Bordeaux",0.98500001,30.9,0,"97"
"R6K21","Dye Stain Reducer",0.79100001,2903.2,0,"97"
"S64L39","Blue",0.89700001,303.20001,0,"301"
"S64R35","Deep Red",0.85100001,247.39999,0,"301"
"S64W31","White",1.597,437.10001,0,"301"
"S64N37","Burnt Umber",1.1569999,775.29999,0,"317"
"S64Y41","Brite Yellow",0.90799999,484.60001,0,"317"
"R1K3","VM&P Naptha",0.74199998,969.09998,0,"317"
"R1K4","Mineral Spirit",0.75999999,969.09998,0,"317"
"S64N36","Burnt Sienna",1.1569999,120,0,"319"
"S64N37","Burnt Umber",1.1569999,300,0,"319"
"S64N42","Raw Umber",1.1210001,112.5,0,"319"
"S64Y32","Yellow Oxide",1.171,112.5,0,"319"
"R1K3","VM&P Naptha",0.74199998,975,0,"319"
"R1K4","Mineral Spirit",0.75999999,975,0,"319"
"S64N37","Burnt Umber",1.1569999,348.5,0,"320"
"S64R33","Red Oxide",1.181,34,0,"320"
"S64Y41","Brite Yellow",0.90799999,102,0,"320"
"R1K3","VM&P Naptha",0.74199998,731,0,"320"
"R1K4","Mineral Spirit",0.75999999,731,0,"320"
"S64N37","Burnt Umber",1.1569999,13,0,"321"
"S64N45","VanDyke Brown",0.94999999,7,0,"321"
"R1K3","VM&P Naptha",0.74199998,30,0,"321"
"R1K4","Mineral Spirit",0.75999999,30,0,"321"
"S64N37","Burnt Umber",1.1569999,14.5,0,"325"
"S64Y32","Yellow Oxide",1.171,41,0,"325"
"R1K3","VM&P Naptha",0.74199998,110,0,"325"
"S64B30","Black",0.91909999,2.0999999,0,"663"
"S64G38","Green",0.90799999,3.5,0,"663"
"S64N36","Burnt Sienna",1.1569999,87.099998,0,"663"
"S64B30","Black",0.91909999,1.1,0,"665"
"S64N36","Burnt Sienna",1.1569999,375.39999,0,"665"
"S64B30","Black",0.91909999,399.29999,0,"703"
"S64N36","Burnt Sienna",1.1569999,432.79999,0,"703"
"S64N37","Burnt Umber",1.1569999,707.09998,0,"703"
"S64R33","Red Oxide",1.181,208.3,0,"703"
"R1K4","Mineral Spirit",0.75999999,110,0,"325"
"S64N3","FRT WD STN",0.82804072,30,0,"325"
"S64N37","Burnt Umber",1.1569999,716.5,0,"326"
"S64R33","Red Oxide",1.181,358.20001,0,"326"
"R1K3","VM&P Naptha",0.74199998,1074.7,0,"326"
"R1K4","Mineral Spirit",0.75999999,1074.7,0,"326"
"S64G38","Green",0.90799999,2.5,0,"328"
"S64N36","Burnt Sienna",1.1569999,65.300003,0,"328"
"S64N37","Burnt Umber",1.1569999,28.200001,0,"328"
"S64W31","White",1.597,2.5,0,"328"
"S64Y32","Yellow Oxide",1.171,89.400002,0,"328"
"R1K3","VM&P Naptha",0.74199998,1261.8,0,"328"
"R1K4","Mineral Spirit",0.75999999,409.29999,0,"328"
"S64T8","Clear",0.79209107,78.900002,0,"328"
"S64B30","Black",0.91909999,25,0,"329"
"S64N36","Burnt Sienna",1.1569999,309,0,"329"
"S64Y32","Yellow Oxide",1.171,410,0,"329"
"R1K3","VM&P Naptha",0.74199998,223,0,"329"
"S64N23","Fruitwood",1.0930001,220.3,0,"330"
"S64Y32","Yellow Oxide",1.171,75.699997,0,"330"
"S64T8","Clear",0.79209107,2501.8,0,"330"
"S64B30","Black",0.91909999,125,0,"331"
"S64N36","Burnt Sienna",1.1569999,1400,0,"331"
"S64N37","Burnt Umber",1.1569999,450,0,"331"
"S64Y32","Yellow Oxide",1.171,500,0,"331"
"R1K3","VM&P Naptha",0.74199998,753.5,0,"331"
"R1K4","Mineral Spirit",0.75999999,8.8000002,0,"331"
"S64N36","Burnt Sienna",1.1569999,1859,0,"332"
"S64N37","Burnt Umber",1.1569999,555,0,"332"
"S64Y32","Yellow Oxide",1.171,158,0,"332"
"R1K3","VM&P Naptha",0.74199998,593,0,"332"
"S64N36","Burnt Sienna",1.1569999,750.90002,0,"334"
"S64N37","Burnt Umber",1.1569999,676.09998,0,"334"
"S64W31","White",1.597,257.39999,0,"334"
"S64Y32","Yellow Oxide",1.171,284.79999,0,"334"
"R1K3","VM&P Naptha",0.74199998,806.90002,0,"334"
"R1K4","Mineral Spirit",0.75999999,806.90002,0,"334"
"S64B30","Black",0.91909999,195,0,"335"
"S64B30","Black",0.91909999,2,0,"667"
"S64N37","Burnt Umber",1.1569999,12.1,0,"667"
"S64R35","Deep Red",0.85100001,208.3,0,"703"
"S64N45","VanDyke Brown",0.94999999,536.40002,0,"703"
"S64N36","Burnt Sienna",1.1569999,60.400002,0,"1177"
"S64N42","Raw Umber",1.1210001,28.5,0,"1177"
"S64T28","Clear",0.90600002,611.09998,0,"1177"
"S64Y46","Raw Sienna",1.13,78.199997,0,"1177"
"R1K4","Mineral Spirit",0.75999999,1677.1,0,"1177"
"S64W31","White",1.597,1208.9,0,"1178"
"S64N44","Gilsonite",0.85100001,91,0,"335"
"S64R35","Deep Red",0.85100001,1687,0,"335"
"S64R40","Brite Red",0.88999999,376,0,"335"
"S64Y32","Yellow Oxide",1.171,900,0,"335"
"S64T8","Clear",0.79209107,137,0,"335"
"S64N37","Burnt Umber",1.1569999,550,0,"336"
"S64Y32","Yellow Oxide",1.171,300,0,"336"
"S64Y46","Raw Sienna",1.13,450,0,"336"
"R1K3","VM&P Naptha",0.74199998,1300,0,"336"
"R1K4","Mineral Spirit",0.75999999,300,0,"336"
"S64N23","Fruitwood",1.0930001,332.70001,0,"337"
"S64N36","Burnt Sienna",1.1569999,39.900002,0,"337"
"S64N45","VanDyke Brown",0.94999999,166.39999,0,"337"
"R1K3","VM&P Naptha",0.74199998,266.20001,0,"337"
"R1K4","Mineral Spirit",0.75999999,66.5,0,"337"
"S64N37","Burnt Umber",1.1569999,350,0,"338"
"S64Y32","Yellow Oxide",1.171,100,0,"338"
"S64Y46","Raw Sienna",1.13,250,0,"338"
"R1K3","VM&P Naptha",0.74199998,1700,0,"338"
"R1K4","Mineral Spirit",0.75999999,500,0,"338"
"S64N36","Burnt Sienna",1.1569999,1849.9,0,"339"
"S64N37","Burnt Umber",1.1569999,552.40002,0,"339"
"S64Y32","Yellow Oxide",1.171,157.8,0,"339"
"R1K3","VM&P Naptha",0.74199998,590.90002,0,"339"
"R1K4","Mineral Spirit",0.75999999,590.90002,0,"339"
"S64T28","Clear",0.90600002,2200,0,"344"
"S64N45","VanDyke Brown",0.94999999,160,0,"344"
"S64N36","Burnt Sienna",1.1569999,300,0,"346"
"S64N23","Fruitwood",1.0930001,65.5,0,"630"
"S64N44","Gilsonite",0.85100001,10,0,"630"
"S64B30","Black",0.91909999,2.0999999,0,"661"
"S64N37","Burnt Umber",1.1569999,72.300003,0,"661"
"S64R40","Brite Red",0.88999999,4.3000002,0,"661"
"R1K3","VM&P Naptha",0.74199998,1559.7,0,"661"
"S64N37","Burnt Umber",1.1569999,109.9,0,"663"
"S64R40","Brite Red",0.88999999,4.3000002,0,"663"
"S64Y32","Yellow Oxide",1.171,119.2,0,"663"
"R1K3","VM&P Naptha",0.74199998,1839.8,0,"663"
"R1K4","Mineral Spirit",0.75999999,703.20001,0,"663"
"S64N37","Burnt Umber",1.1569999,374.20001,0,"665"
"S64R40","Brite Red",0.88999999,2.0999999,0,"665"
"P63B1","Black",0.86870003,0.60000002,0,"957"
"P63E2","Orange",0.91399997,1.1,0,"957"
"P63N5","Burnt Umber",0.91399997,4.9000001,0,"957"
"P63W9","White",1.114,178.60001,0,"957"
"P63Y11","Ferrite Yellow",1.0190001,17.9,0,"957"
"R6K10","MEK",0.80615002,96.800003,0,"957"
"S64Y46","Raw Sienna",1.13,900,0,"346"
"R1K3","VM&P Naptha",0.74199998,1500,0,"346"
"R1K4","Mineral Spirit",0.75999999,300,0,"346"
"S64B30","Black",0.91909999,292,0,"348"
"S64N37","Burnt Umber",1.1569999,936,0,"348"
"S64R33","Red Oxide",1.181,168,0,"348"
"S64R35","Deep Red",0.85100001,176,0,"348"
"R1K3","VM&P Naptha",0.74199998,1200,0,"348"
"R1K4","Mineral Spirit",0.75999999,600,0,"348"
"S64G38","Green",0.90799999,252,0,"350"
"S64R33","Red Oxide",1.181,63.599998,0,"350"
"S64W31","White",1.597,526,0,"350"
